Area,Policy ,M CODE,LR,,,,,,,,,,
Tax,This new band would be applied on an individual basis and not on the joint income of a couple.,503,L,,,,,,,,,,
Unificaion ,We will campaign for an island-wide referendum on Irish unity.,601.1,R,,,,,,,,,,
Unificaion ,We will introduce a Green Paper on Irish unity.,601.1,R,,,,,,,,,,
Unificaion ,"We want to build a just, fair and equal Ireland-an economically prosperous and socially and culturally inclusive Ireland.",503,L,,,,,,,,,,
Unificaion ,"We will campaign to raise public support for an island-wide referendum on Irish unity, allowing the people to have their say.",601.1,R,,,,,,,,,,
Unificaion ,We will introduce Northern representation in the Dail.,601.1,R,,,,,,,,,,
Unificaion ,"Northern MPs should be automatically accorded membership of the Dail, with consultative and speaking rights.",204,N,,,,,,,,,,
Unificaion ,We will introduce the Thirty-fourth Amendment of the Constitution (Presidential Voting) Bill to extend Presidential voting rights to citizens in the North and abroad.,204,N,,,,,,,,,,
Unificaion ,We will introduce a Green Paper on Irish Unity to begin the practical planning for reunification.,601.1,R,,,,,,,,,,
Unificaion ,"We will establish an Oireachtas Joint Committee on Irish Reunification with the task of outlining, driving, monitoring and reviewing the transition towards Irish unity.",601.1,R,,,,,,,,,,
Unificaion ,We will ensure that the North-South Ministerial Council establishes a committee specifically tasked with harmonising and maximising cooperation in all fields for the benefit of all our people.,601.1,R,,,,,,,,,,
